"","lon","lat"
"352",-75.1195491,39.9410009
"353",-74.8581048,40.5437662
"354",-75.0775964,39.8671286
"355",-74.7559254,40.2207194
"356",-74.2829443,40.5113045
"357",-73.9749837,40.8953645
"358",-74.218474,40.7672807
"359",-74.0403238,40.8971693
"360",-74.9781785,40.7587515
"361",-74.1441037,40.9175923
"362",-74.0665695,40.3377464
"363",-74.1577087,40.7299325
"364",-74.7513945,41.0580642
"365",-74.3114517,40.2354015
"366",-74.937555,40.0236604
"367",-74.5323795,39.4941665
"368",-108.1690292,36.7485683
"369",-106.6034336,35.0798681
"370",-106.6507778,35.2534559
"371",-106.5865108,35.0838386
"372",-105.9612682,35.6588013
"373",-106.5309166,35.116958
"374",-115.1859335,36.15948
"375",-115.1036346,36.1163445
"376",-119.8206974,39.5303044
"377",-73.9285403,42.8013508
"378",-76.873073,42.381104
"379",-74.4807234,42.6808653
"380",-73.6304066,40.8679844
"381",-75.4404218,43.2312858
"382",-77.660698,42.3321619
"383",-76.1326103,43.0465443
"384",-77.5995576,43.160749
"385",-77.0572152,42.1426402
"386",-73.6368739,43.3101684
"387",-74.0296187,41.4969561
"388",-74.689933,41.655002
"389",-75.2467607,43.0942117
"390",-77.27789,42.885984
"391",-78.877466,43.022263
"392",-75.9132733,43.9743901
"393",-73.7638958,42.8601843
"394",-73.9290677,41.7013364
"395",-73.7886348,41.0403161
"396",-73.3063306,40.71841
"397",-73.766663,42.25853
"398",-73.8983255,40.9330083
"399",-73.691122,42.7316239
"400",-73.9997426,41.9286457
"401",-73.9461516,40.7465677
"402",-78.1935447,43.0010879
"403",-74.0772782,40.6421085
"404",-73.8012638,43.0795527
"405",-74.305309,44.848135
"406",-73.781813,40.911026
"407",-74.0320253,41.1058187
"408",-73.9936386,40.7253975
"409",-78.8372509,42.9405096
"410",-77.7037252,43.2106286
"411",-73.9197004,40.8168507
"412",-73.4305233,40.6835613
"413",-74.36847,43.020538
"414",-74.130258,44.325235
"415",-75.4912644,44.6982261
"416",-73.9912989,40.6927443
"417",-73.0351985,40.7796049
"418",-74.1874196,42.9743316
"419",-73.6127662,40.7098643
"420",-72.6561361,40.9200906
"421",-73.8376727,40.9124845
"422",-75.651636,43.077504
"423",-76.5096737,42.440078
"424",-73.457178,44.6970737
"425",-78.9397291,43.0847237
"426",-74.3357148,41.3905859
"427",-73.1972988,40.8532189
"428",-75.4789356,43.776578
"429",-79.0502066,43.0957608
"430",-76.7948555,42.0941607
"431",-73.4206812,40.8601041
"432",-73.7887699,42.6806801
"433",-75.1710482,44.5948804
"434",-78.7737425,42.8403183
"435",-82.0546556,39.3348035
"436",-83.8353616,39.9384775
"437",-84.5656351,39.3984304
"438",-83.5446212,41.6538679
"439",-81.3573518,41.1534758
"440",-83.0400706,39.9567051
"441",-83.0738143,40.3020528
"442",-83.0078263,40.0021145
"443",-82.1737893,41.4630763
"444",-84.6014587,39.1228919
"445",-81.8509232,41.4627409
"446",-84.1960343,39.7626949
"447",-84.5079914,39.1237734
"448",-81.499595,41.4091398
"449",-81.3860293,40.8275103
"450",-84.4819237,39.2834793
"451",-82.911226,39.956195
"452",-81.7038844,41.4407143
"453",-81.9366221,40.8432675
"454",-80.8185869,41.240087
"455",-82.5299169,40.7591726
"456",-81.8310272,41.1373649
"457",-81.535068,41.083708
"458",-80.658878,41.060611
"459",-81.632467,41.504813
"460",-95.9752956,36.1488149
"461",-97.4788068,35.6212518
"462",-97.624287,35.536237
"463",-97.624287,35.536237
"464",-97.5235988,35.4935601
"465",-122.8024243,45.4858575
"466",-122.8707656,42.3254182
"467",-122.6333296,45.4190669
"468",-123.0722589,43.799549
"469",-122.6884325,42.1835715
"470",-123.324549,42.457022
"471",-121.3051787,44.0729486
"472",-122.6116576,45.4991156
"473",-123.0408584,44.0449598
"474",-122.6617932,45.5496971
"475",-122.9857593,44.9586953
"476",-123.1777214,44.0693623
"477",-75.80547,39.9865733
"478",-75.1606105,39.9474841
"479",-79.0764151,40.0082384
"480",-75.3372495,40.1234414
"481",-79.4977588,40.304264
"482",-76.8936185,40.2708592
"483",-75.6045445,40.2444989
"484",-75.3927323,39.9181949
"485",-75.2472021,40.6829661
"486",-75.0000243,40.1039608
"487",-75.1942824,40.9862214
"488",-75.4755586,40.6022173
"489",-76.3007496,40.0375173
"490",-75.3392651,40.4416763
"491",-75.9302051,40.3338032
"492",-80.1125514,40.3575424
"493",-75.0864891,40.2011219
"494",-75.8807602,41.2479256
"495",-75.2633801,39.9594358
"496",-74.8765844,40.1047406
"497",-76.7251863,39.952414
"498",-75.6103587,39.9566465
"499",-78.9148032,40.3157623
"500",-75.0535472,40.0649404
"501",-79.9968471,40.4434897
"502",-80.212909,40.5113286
"503",-74.9367091,40.1119195
"504",-71.4079508,41.8165868
"505",-79.9461699,32.7890632
"506",-81.0033981,34.0151509
"507",-96.8078342,43.5145271
"508",-89.9796818,35.1396832
"509",-86.800424,36.158958
"510",-83.896822,35.9900031
"511",-97.1315746,31.5462444
"512",-98.4100334,29.5447964
"513",-98.495134,29.4489346
"514",-96.6128889,32.8096677
"515",-95.5830922,29.6388598
"516",-95.5040948,29.8470584
"517",-97.0287782,33.0406873
"518",-96.9439687,32.5993253
"519",-95.5390765,33.6772084
"520",-97.7224205,30.2623681
"521",-97.7630823,30.2212594
"522",-98.5823876,29.5026043
"523",-98.4573055,29.3746529
"524",-97.6599661,30.680304
"525",-97.1303003,32.8509552
"526",-95.0789476,29.4525659
"527",-95.2999068,32.3109762
"528",-97.1303781,32.6855372
"529",-97.2625261,32.7060734
"530",-95.3347851,29.7256151
"531",-95.3347851,29.7256151
"532",-95.4864785,30.041011
"533",-122.3919178,40.6365263
"534",-95.48367,29.7064553
"535",-96.7068425,33.00782
"536",-97.4207559,32.6551962
"537",-97.6796404,26.1993076
"538",-96.8763195,32.6491785
"539",-97.5038158,25.9787522
"540",-98.6568534,29.4184341
"541",-97.7255182,30.3737166
"542",-96.7678709,32.8733188
"543",-95.4128301,29.908841
"544",-111.7242289,40.3169895
